Timestamp,Raw Points,Normalized Points
20240928_122626,9,0.036885245901639344
20240928_122903,20,0.08196721311475409
20240928_123211,21,0.0860655737704918
20240928_123531,18,0.07377049180327869
20240928_123837,15,0.06147540983606557
20240928_124209,9,0.036885245901639344
20240928_124538,22,0.09016393442622951
20240928_124904,26,0.10655737704918032
20240928_125232,22,0.09016393442622951
20240928_125612,10,0.040983606557377046
20240928_170023,19,0.0778688524590164
20240928_170527,19,0.0778688524590164
20240928_171141,34,0.13934426229508196
